level_0,level_1,Negative,Positive,Statistics
IND_ORDER,1707538.0,4 (19.05%),17 (80.95%),"$\chi^2$=296.95, $p$=0.00"
IND_ORDER,1787772.0,8 (42.11%),11 (57.89%),
IND_ORDER,1792792.0,5 (25.00%),15 (75.00%),
IND_ORDER,1807674.0,3 (15.79%),16 (84.21%),
IND_ORDER,1814797.0,2 (9.52%),19 (90.48%),
IND_ORDER,1831528.0,14 (63.64%),8 (36.36%),
IND_ORDER,1891586.0,21 (95.45%),1 (4.55%),
IND_ORDER,1918183.0,14 (73.68%),5 (26.32%),
IND_ORDER,1938651.0,9 (42.86%),12 (57.14%),
IND_ORDER,1948171.0,12 (60.00%),8 (40.00%),
IND_ORDER,1948558.0,16 (76.19%),5 (23.81%),
IND_ORDER,1959069.0,19 (82.61%),4 (17.39%),
IND_ORDER,1968238.0,16 (72.73%),6 (27.27%),
IND_ORDER,2020515.0,17 (85.00%),3 (15.00%),
IND_ORDER,2040638.0,10 (50.00%),10 (50.00%),
IND_ORDER,2052941.0,17 (89.47%),2 (10.53%),
IND_ORDER,2099002.0,9 (42.86%),12 (57.14%),
IND_ORDER,2133967.0,11 (52.38%),10 (47.62%),
IND_ORDER,2210749.0,16 (84.21%),3 (15.79%),
IND_ORDER,2227827.0,13 (56.52%),10 (43.48%),
IND_ORDER,2237681.0,9 (45.00%),11 (55.00%),
IND_ORDER,2240081.0,14 (70.00%),6 (30.00%),
IND_ORDER,2240418.0,16 (76.19%),5 (23.81%),
IND_ORDER,2265611.0,12 (57.14%),9 (42.86%),
IND_ORDER,2273535.0,16 (84.21%),3 (15.79%),
IND_ORDER,2297404.0,21 (95.45%),1 (4.55%),
IND_ORDER,2318478.0,17 (77.27%),5 (22.73%),
IND_ORDER,2325934.0,5 (35.71%),9 (64.29%),
IND_ORDER,2339805.0,11 (50.00%),11 (50.00%),
IND_ORDER,2381082.0,8 (42.11%),11 (57.89%),
IND_ORDER,2396740.0,19 (86.36%),3 (13.64%),
IND_ORDER,2407797.0,14 (63.64%),8 (36.36%),
IND_ORDER,2413809.0,18 (85.71%),3 (14.29%),
IND_ORDER,2429115.0,15 (71.43%),6 (28.57%),
IND_ORDER,2434152.0,14 (70.00%),6 (30.00%),
IND_ORDER,2463210.0,16 (84.21%),3 (15.79%),
IND_ORDER,2483288.0,17 (80.95%),4 (19.05%),
IND_ORDER,2508721.0,13 (61.90%),8 (38.10%),
IND_ORDER,2517210.0,10 (52.63%),9 (47.37%),
IND_ORDER,2527233.0,17 (85.00%),3 (15.00%),
IND_ORDER,2529300.0,13 (76.47%),4 (23.53%),
IND_ORDER,2532465.0,12 (63.16%),7 (36.84%),
IND_ORDER,2538835.0,13 (59.09%),9 (40.91%),
IND_ORDER,2543197.0,14 (73.68%),5 (26.32%),
IND_ORDER,2556465.0,12 (60.00%),8 (40.00%),
IND_ORDER,2557400.0,9 (47.37%),10 (52.63%),
IND_ORDER,2570172.0,11 (64.71%),6 (35.29%),
IND_ORDER,2581740.0,8 (38.10%),13 (61.90%),
IND_ORDER,2630442.0,17 (80.95%),4 (19.05%),
IND_ORDER,2644690.0,5 (22.73%),17 (77.27%),
IND_ORDER,2655699.0,13 (61.90%),8 (38.10%),
IND_ORDER,2658482.0,13 (72.22%),5 (27.78%),
IND_ORDER,2681016.0,14 (70.00%),6 (30.00%),
IND_ORDER,2693165.0,11 (50.00%),11 (50.00%),
IND_ORDER,2705211.0,14 (66.67%),7 (33.33%),
IND_ORDER,2709197.0,15 (65.22%),8 (34.78%),
IND_ORDER,2739460.0,12 (63.16%),7 (36.84%),
IND_ORDER,2747308.0,9 (42.86%),12 (57.14%),
IND_ORDER,2754692.0,11 (55.00%),9 (45.00%),
IND_ORDER,2754869.0,6 (28.57%),15 (71.43%),
IND_ORDER,2813300.0,14 (70.00%),6 (30.00%),
IND_ORDER,2828374.0,9 (45.00%),11 (55.00%),
IND_ORDER,2831284.0,7 (35.00%),13 (65.00%),
IND_ORDER,2834172.0,13 (61.90%),8 (38.10%),
IND_ORDER,2845772.0,17 (77.27%),5 (22.73%),
IND_ORDER,2864391.0,6 (30.00%),14 (70.00%),
IND_ORDER,2882596.0,15 (75.00%),5 (25.00%),
IND_ORDER,2916182.0,16 (76.19%),5 (23.81%),
IND_ORDER,2916412.0,18 (81.82%),4 (18.18%),
IND_ORDER,2923789.0,10 (52.63%),9 (47.37%),
IND_ORDER,2924860.0,11 (50.00%),11 (50.00%),
IND_ORDER,2945548.0,5 (25.00%),15 (75.00%),
IND_ORDER,2984921.0,16 (80.00%),4 (20.00%),
IND_ORDER,3026934.0,11 (57.89%),8 (42.11%),
IND_ORDER,3038391.0,12 (54.55%),10 (45.45%),
IND_ORDER,3064945.0,15 (75.00%),5 (25.00%),
IND_ORDER,3086548.0,10 (45.45%),12 (54.55%),
