Feature,Interaction Features,Contribution Importance
VIX_KR,Brent,0.026922228
VIX_KR,WTI,0.02227584
VIX_KR,BOND_BBB_roll20_mean,0.017736174
VIX_KR,ask_ratio_last,0.014413738
VIX_KR,USD,0.013668171
VIX_KR,KRX_ENERGY_roll5_mean,0.013536921
VIX_KR,Oman_roll5_mean,0.0132324295
VIX_KR,GDP,0.012403912
VIX_KR,ta_avg_dev_abs,0.011226753
VIX_KR,PPI,0.011102854
VIX_KR,ta_avg_window_mean,0.009137333
VIX_KR,BSI_E,0.009096782
VIX_KR,KRX_SEMICON,0.008704511
VIX_KR,USD_CNY,0.0081232395
VIX_KR,Oman_lag1,0.007798086
VIX_KR,KRX_ENG,0.007759679
VIX_KR,CREDIT_SPREAD,0.0076603764
VIX_KR,NEWCASTLE_COAL_roll20_mean,0.007363573
VIX_KR,bid_qty_window,0.007314606
VIX_KR,KRX_ENERGY_roll20_mean,0.006640687
VIX_KR,IND_ORDER,0.006419999
VIX_KR,HH_GAS,0.0063686967
VIX_KR,KRX_ENERGY,0.0063303304
VIX_KR,ta_avg_dev_abs_window_mean,0.0062299827
VIX_KR,IIP_CHEM,0.0050434656
VIX_KR,Oman,0.005036904
VIX_KR,ta_avg,0.004569441
VIX_KR,Oman_roll20_mean,0.0045349263
VIX_KR,smp_window_mean,0.003980805
VIX_KR,is_traded,0.0038197574
VIX_KR,CCI,0.0035085853
VIX_KR,EXPORT,0.0034425152
VIX_KR,ta_avg_dev_abs_window_max,0.003130323
VIX_KR,KOSPI,0.002926536
VIX_KR,rn_day_window_sum,0.002655817
VIX_KR,IIP_MFG,0.0024955857
VIX_KR,ta_avg_dev_window_mean,0.0024894732
VIX_KR,smp_window_days,0.0024706046
VIX_KR,NEWCASTLE_COAL_lag1,0.0024346865
VIX_KR,CPI,0.0023677659
VIX_KR,Dubai,0.0020048965
VIX_KR,BOND_3Y,0.001943156
VIX_KR,NEWCASTLE_COAL_roll5_mean,0.0018627102
VIX_KR,smp_window_mean_lag1,0.0017830733
VIX_KR,SMP_MEAN,0.0016870816
VIX_KR,KRX_CEMENT,0.0015915344
VIX_KR,KRX_IRON,0.0015200917
VIX_KR,smp_window_mean_roll5_mean,0.0015160802
VIX_KR,BOND_BBB_roll5_mean,0.0014800273
VIX_KR,BSI_P,0.0014569823
VIX_KR,KRX_ENERGY_lag1,0.0014389335
VIX_KR,BOND_BBB,0.0014171628
VIX_KR,NEWCASTLE_COAL,0.0013861038
VIX_KR,smp_window_mean_roll20_mean,0.001367952
VIX_KR,IIP_STEEL,0.0013547257
VIX_KR,ta_avg_dev,0.0011742044
VIX_KR,CLI,0.0011646608
VIX_KR,IMPORT,0.0009464729
VIX_KR,rn_day_window_mean,0.0009276979
VIX_KR,rn_day,0.000887183
VIX_KR,CAP_UTIL,0.0007847366
VIX_KR,BOND_BBB_lag1,0.0005357439
VIX_KR,weather_window_days,0.0004506279
VIX_KR,FV_KAU22,0.00033389815
VIX_KR,FV_KAU23,0.00030515649
VIX_KR,vintage_bucket,0.00022158415
VIX_KR,FV_KAU24,0.00014245883
VIX_KR,CALL,0.00013464227
VIX_KR,ask_ratio_last_known,0.00012735218
VIX_KR,auction_window7,6.27769e-05
USD_CNY,KRX_ENERGY_roll20_mean,0.041504197
USD_CNY,KRX_ENG,0.0141089205
USD_CNY,VIX_KR,0.008123196
USD_CNY,rn_day_window_mean,0.0070266994
USD_CNY,KRX_ENERGY,0.0065563335
USD_CNY,KRX_ENERGY_roll5_mean,0.0064503956
USD_CNY,HH_GAS,0.005213186
USD_CNY,KRX_IRON,0.004728134
USD_CNY,ask_ratio_last,0.004652821
USD_CNY,smp_window_mean_lag1,0.0036021783
USD_CNY,SMP_MEAN,0.0030903916
USD_CNY,ta_avg_dev_abs,0.0030327828
USD_CNY,NEWCASTLE_COAL_lag1,0.002912425
USD_CNY,KRX_SEMICON,0.0028321347
USD_CNY,CCI,0.0028287268
USD_CNY,IIP_MFG,0.002791851
USD_CNY,Dubai,0.0027365035
USD_CNY,Oman_roll5_mean,0.0024547845
USD_CNY,ta_avg,0.0023880606
USD_CNY,Oman_lag1,0.0020509139
USD_CNY,Oman_roll20_mean,0.001966825
USD_CNY,KRX_ENERGY_lag1,0.0018760238
USD_CNY,CAP_UTIL,0.0018310116
USD_CNY,ta_avg_window_mean,0.0016628663
USD_CNY,KOSPI,0.0016355972
USD_CNY,rn_day_window_sum,0.001625752
USD_CNY,rn_day,0.0014234148
USD_CNY,smp_window_mean,0.0014081498
USD_CNY,ta_avg_dev_abs_window_mean,0.0014020109
USD_CNY,smp_window_days,0.0013333572
USD_CNY,weather_window_days,0.001327321
USD_CNY,ta_avg_dev_window_mean,0.001319233
USD_CNY,CREDIT_SPREAD,0.0012145136
USD_CNY,IIP_CHEM,0.0011933167
USD_CNY,ta_avg_dev_abs_window_max,0.0011549921
USD_CNY,Brent,0.0011364991
USD_CNY,BOND_BBB_roll20_mean,0.0011364461
USD_CNY,IND_ORDER,0.001110441
USD_CNY,ta_avg_dev,0.0011012595
USD_CNY,BOND_BBB,0.0010279968
USD_CNY,IMPORT,0.0009887909
USD_CNY,is_traded,0.0009426834
USD_CNY,NEWCASTLE_COAL_roll5_mean,0.00088748295
USD_CNY,auction_window7,0.0008663014
USD_CNY,BOND_3Y,0.00081171835
USD_CNY,EXPORT,0.00079266547
USD_CNY,NEWCASTLE_COAL,0.00077759894
USD_CNY,IIP_STEEL,0.0007102058
USD_CNY,smp_window_mean_roll20_mean,0.0006831121
USD_CNY,KRX_CEMENT,0.00064068503
USD_CNY,CLI,0.00060947996
USD_CNY,USD,0.0005938499
USD_CNY,NEWCASTLE_COAL_roll20_mean,0.0004394935
USD_CNY,smp_window_mean_roll5_mean,0.00043766323
USD_CNY,WTI,0.00041073715
USD_CNY,GDP,0.0003553709
USD_CNY,BOND_BBB_roll5_mean,0.0003472997
USD_CNY,CPI,0.00025473293
USD_CNY,bid_qty_window,0.00024349634
USD_CNY,PPI,0.00024113375
USD_CNY,BOND_BBB_lag1,0.0002397457
USD_CNY,BSI_E,0.00023428121
USD_CNY,Oman,0.0002114975
USD_CNY,FV_KAU24,0.00014647045
USD_CNY,BSI_P,0.00013823523
USD_CNY,auction_window5,3.1238545e-05
USD_CNY,ask_ratio_last_known,1.1549369e-05
USD_CNY,vintage_bucket,6.2137196e-06
USD_CNY,FV_KAU23,2.9616506e-06
GDP,VIX_KR,0.012403928
GDP,KRX_CEMENT,0.011095629
GDP,KRX_ENERGY,0.010293191
GDP,KOSPI,0.0065522334
GDP,CREDIT_SPREAD,0.0036054677
GDP,ta_avg_dev_abs_window_mean,0.0035368672
GDP,ask_ratio_last,0.0034139832
GDP,ta_avg_window_mean,0.003335119
GDP,Oman_lag1,0.003228039
GDP,WTI,0.002928375
GDP,HH_GAS,0.002741759
GDP,KRX_ENERGY_roll20_mean,0.0027168903
GDP,KRX_IRON,0.0026594803
GDP,Oman_roll5_mean,0.0026115458
GDP,KRX_ENERGY_lag1,0.002527607
GDP,ta_avg_dev_abs_window_max,0.002505267
GDP,smp_window_mean_roll5_mean,0.0023686092
GDP,Dubai,0.0017709668
GDP,BOND_BBB_roll20_mean,0.0017183134
GDP,BOND_3Y,0.001691585
GDP,CLI,0.0016448839
GDP,KRX_SEMICON,0.0016352372
