Feature,Rank_Total,DirectionQR_Total,DirectionCORR_Total,Rank_1,DirectionQR_1,DirectionCORR_1,Rank_2,DirectionQR_2,DirectionCORR_2
KRX_ENERGY_roll20_mean,1,-,-,1,-,-,36,-,+
VIX_KR,2,-,-,2,-,-,1,-,+
is_traded,3,+,+,3,+,+,25,+,-
bid_qty_window,4,-,-,4,-,-,6,-,-
Oman_lag1,5,-,+,5,-,+,11,+,-
ta_avg_dev_abs_window_max,6,-,-,6,-,-,3,+,-
IND_ORDER,7,-,-,7,-,-,16,-,+
smp_window_days,8,-,-,8,-,-,13,-,-
KRX_CEMENT,9,-,-,9,+,-,10,+,-
KRX_SEMICON,10,-,+,10,-,+,5,-,+
BOND_BBB_roll20_mean,11,-,-,11,-,-,4,+,-
ask_ratio_last,12,-,+,12,+,+,2,+,+
ta_avg_dev_abs,13,+,+,13,-,+,9,+,+
KRX_ENERGY_lag1,14,+,+,14,+,+,28,+,+
smp_window_mean,15,-,-,15,-,-,23,-,-
BSI_E,16,+,+,16,+,+,7,+,+
KRX_ENG,17,+,+,17,+,+,17,+,+
ta_avg_dev_abs_window_mean,18,-,-,18,-,-,22,-,-
USD_CNY,19,+,+,19,+,+,18,-,-
ta_avg,20,-,+,20,-,+,35,-,-
smp_window_mean_roll20_mean,21,+,-,21,+,-,39,+,-
CLI,22,-,+,22,-,+,41,+,-
SMP_MEAN,23,+,-,23,+,-,40,+,-
HH_GAS,24,-,-,24,-,-,24,+,-
NEWCASTLE_COAL_lag1,25,-,-,26,+,-,12,-,-
rn_day_window_mean,26,+,+,25,+,+,20,-,-
rn_day,27,-,-,27,-,-,27,-,-
rn_day_window_sum,28,-,-,28,-,-,19,-,-
NEWCASTLE_COAL_roll5_mean,29,-,+,29,-,+,38,+,-
Brent,30,+,-,32,+,-,8,-,+
ta_avg_window_mean,31,-,+,30,-,+,33,-,-
BOND_3Y,32,-,-,31,-,-,31,-,-
KRX_IRON,33,-,+,33,-,+,58,-,-
KRX_ENERGY_roll5_mean,34,+,+,34,+,+,46,+,+
EXPORT,35,+,+,35,+,+,32,+,+
USD,36,+,-,36,-,-,26,-,-
weather_window_days,37,-,-,37,-,-,43,-,-
NEWCASTLE_COAL,38,-,-,38,+,-,30,-,-
Oman_roll5_mean,39,+,+,39,+,+,42,+,+
Dubai,40,+,-,40,-,-,45,+,+
smp_window_mean_roll5_mean,41,-,-,41,-,-,37,+,-
KOSPI,42,-,+,42,+,+,15,+,+
smp_window_mean_lag1,43,+,+,43,+,+,29,+,+
WTI,44,-,-,44,+,-,34,+,-
IMPORT,45,-,+,45,-,+,48,+,+
CREDIT_SPREAD,46,+,+,46,-,+,14,+,+
CPI,47,+,+,47,+,+,51,+,-
IIP_STEEL,48,-,-,48,-,-,57,+,+
KRX_ENERGY,49,+,-,49,+,-,21,+,-
IIP_MFG,50,+,-,50,+,-,56,+,-
ta_avg_dev,51,-,+,51,-,+,55,-,-
BOND_BBB_roll5_mean,52,+,-,52,+,-,62,+,-
NEWCASTLE_COAL_roll20_mean,53,+,-,53,+,-,49,-,-
ta_avg_dev_window_mean,54,-,+,54,-,+,50,-,-
Oman,55,-,-,55,-,-,44,-,+
Oman_roll20_mean,56,+,-,56,+,-,53,+,+
GDP,57,-,+,57,-,+,47,-,-
CCI,58,-,+,58,-,+,54,+,-
CAP_UTIL,59,+,-,59,+,-,60,+,-
PPI,60,+,-,60,+,-,52,+,-
BSI_P,61,-,-,61,-,-,59,-,-
BOND_BBB_lag1,62,-,-,62,-,-,61,-,-
IIP_CHEM,63,-,-,63,-,-,64,-,-
BOND_BBB,64,-,-,64,-,-,63,-,+
auction_window7,65,-,-,65,-,-,65,+,+
FV_KAU19,66,+,+,66,+,+,66,+,+
ask_ratio_last_known,67,+,+,67,+,+,67,+,-
FV_KAU22,68,-,-,68,-,-,68,+,-
CALL,69,-,-,69,-,-,70,-,-
auction_window5,70,+,+,70,+,+,69,+,+
FV_KAU24,71,-,-,71,-,-,71,-,-
vintage_transition,72,+,-,72,+,-,72,+,-
FV_KAU25,72,+,-,72,+,-,72,+,-
phase,72,+,-,72,+,-,72,+,-
FV_KAU17,72,+,-,72,+,-,72,+,-
FV_KAU18,72,+,-,72,+,-,72,+,-
FV_KAU20,72,+,-,72,+,-,72,+,-
FV_KAU21,72,+,-,72,+,-,72,+,-
FV_KAU23,72,+,-,72,+,-,72,+,-
prev_vintage_transition,72,+,-,72,+,-,72,+,-
