Feature,Rank_Total,DirectionQR_Total,DirectionCORR_Total,Rank_Phase2,DirectionQR_Phase2,DirectionCORR_Phase2,Rank_Phase3,DirectionQR_Phase3,DirectionCORR_Phase3
KRX_ENERGY_roll20_mean,1,+,-,1,+,-,2,+,+
VIX_KR,2,-,-,4,-,-,1,-,-
is_traded,3,+,+,2,+,+,8,+,+
KRX_ENERGY_roll5_mean,4,+,-,5,+,-,5,+,+
CLI,5,-,+,3,+,+,15,-,-
IND_ORDER,6,-,-,6,+,-,9,-,-
bid_qty_window,7,-,-,20,-,-,3,-,-
BOND_BBB_roll20_mean,8,-,-,7,-,-,10,-,-
SMP_MEAN,9,+,-,11,+,+,6,+,-
USD_CNY,10,-,-,12,+,+,11,-,-
smp_window_mean_roll20_mean,11,-,-,31,+,+,4,+,-
smp_window_mean,12,+,-,27,+,+,7,+,-
BSI_E,13,+,+,13,-,+,13,+,+
NEWCASTLE_COAL_lag1,14,-,-,9,-,-,21,-,-
Oman_lag1,15,-,+,15,+,+,12,-,+
ask_ratio_last,16,+,+,8,+,+,25,-,+
CCI,17,+,+,10,+,+,32,-,-
KRX_ENERGY_lag1,18,+,+,19,+,+,19,+,+
smp_window_days,19,-,-,30,-,-,14,-,-
KRX_ENG,20,+,+,29,-,+,17,+,+
ta_avg_dev_abs_window_max,21,-,-,25,-,-,20,-,-
ta_avg_window_mean,22,+,+,38,+,+,16,-,+
USD,23,-,-,17,-,+,24,-,-
KRX_CEMENT,24,+,-,16,+,-,27,+,-
HH_GAS,25,-,-,22,+,-,23,-,-
NEWCASTLE_COAL,26,+,-,21,-,-,26,-,-
BOND_BBB_roll5_mean,27,-,-,18,+,-,30,-,-
ta_avg_dev_abs_window_mean,28,-,-,40,-,-,18,-,-
ta_avg,29,+,+,35,+,+,22,+,+
WTI,30,+,+,24,+,+,28,-,-
KRX_ENERGY,31,+,+,32,-,-,33,+,+
smp_window_mean_roll5_mean,32,+,+,28,+,+,38,-,+
CPI,33,-,+,14,+,+,57,-,-
IIP_STEEL,34,-,-,26,-,-,41,-,+
BOND_3Y,35,-,-,34,+,-,35,-,-
KRX_SEMICON,36,-,+,37,+,+,34,+,+
Brent,37,-,+,23,-,+,49,+,-
rn_day_window_sum,38,-,-,33,-,-,45,-,-
ta_avg_dev_abs,39,+,-,44,+,-,31,-,-
KOSPI,40,+,+,39,+,+,40,+,+
rn_day_window_mean,41,+,-,36,-,-,48,-,-
IIP_MFG,42,-,-,47,-,-,37,+,-
GDP,43,-,-,59,+,+,29,+,-
Oman_roll5_mean,44,+,-,49,-,+,39,-,-
NEWCASTLE_COAL_roll5_mean,45,-,-,56,+,+,36,-,-
smp_window_mean_lag1,46,+,+,45,-,+,44,+,+
Oman_roll20_mean,47,+,+,46,+,+,46,+,-
weather_window_days,48,-,-,51,-,-,42,-,-
BSI_P,49,-,+,41,+,+,58,+,-
ta_avg_dev_window_mean,50,-,+,53,+,+,43,-,+
CREDIT_SPREAD,51,-,+,42,+,+,56,-,+
ta_avg_dev,52,+,+,52,+,+,47,+,+
Dubai,53,-,+,48,+,+,53,-,-
NEWCASTLE_COAL_roll20_mean,54,-,-,50,+,-,52,-,-
rn_day,55,-,-,54,-,-,50,-,-
IMPORT,56,-,+,43,+,+,59,-,+
BOND_BBB,57,-,-,60,-,-,51,-,-
KRX_IRON,58,-,-,58,-,+,55,-,-
IIP_CHEM,59,-,-,61,-,-,54,+,-
BOND_BBB_lag1,60,-,-,55,-,-,61,-,-
Oman,61,-,+,57,+,+,62,+,-
EXPORT,62,+,+,64,+,+,60,+,+
PPI,63,+,-,65,+,+,63,+,-
CAP_UTIL,64,+,+,66,+,+,64,+,-
FV_KAU19,65,+,+,62,+,+,66,+,-
ask_ratio_last_known,66,+,+,63,+,+,69,+,-
FV_KAU22,67,-,-,69,+,-,65,-,-
vintage_bucket,68,+,-,67,-,-,68,-,-
FV_KAU24,69,-,-,68,+,-,67,-,-
FV_KAU23,70,+,+,72,+,-,70,+,+
auction_window5,71,-,-,70,+,+,72,-,-
auction_window7,72,-,-,73,+,+,71,-,-
CALL,73,-,-,71,+,-,73,+,-
FV_KAU20,74,-,-,74,-,-,74,-,-
phase,75,+,-,75,+,-,75,+,-
FV_KAU17,75,+,-,75,+,-,75,+,-
FV_KAU18,75,+,-,75,+,-,75,+,-
FV_KAU21,75,+,-,75,+,-,75,+,-
vintage_transition,75,+,-,75,+,-,75,+,-
FV_KAU25,75,+,-,75,+,-,75,+,-
prev_vintage_transition,75,+,-,75,+,-,75,+,-
