Feature,Rank_Total,DirectionQR_Total,DirectionCORR_Total,Rank_Q3b~Q4A,DirectionQR_Q3b~Q4A,DirectionCORR_Q3b~Q4A,Rank_Q1,DirectionQR_Q1,DirectionCORR_Q1,Rank_Q2,DirectionQR_Q2,DirectionCORR_Q2,Rank_Q3,DirectionQR_Q3,DirectionCORR_Q3
KRX_ENERGY_roll20_mean,1,+,-,2,+,+,1,+,-,2,-,-,2,+,+
VIX_KR,2,-,-,1,-,-,5,-,-,1,-,-,1,-,-
is_traded,3,+,+,9,+,+,2,+,+,3,+,+,5,+,+
KRX_ENERGY_roll5_mean,4,+,-,6,+,+,4,-,-,7,+,+,9,+,+
CLI,5,-,+,15,-,-,3,+,+,13,-,+,12,-,-
IND_ORDER,6,-,-,4,-,-,10,+,+,4,-,-,7,-,-
bid_qty_window,7,-,-,3,-,-,17,-,-,6,-,-,4,-,-
BOND_BBB_roll20_mean,8,-,-,7,-,-,14,-,-,8,-,-,3,+,-
SMP_MEAN,9,+,-,5,-,-,6,+,-,29,+,-,35,-,-
USD_CNY,10,-,-,10,-,-,7,+,+,12,+,-,16,+,-
smp_window_mean_roll20_mean,11,-,-,11,-,-,12,-,-,9,+,-,6,-,-
smp_window_mean,12,+,-,8,-,-,15,+,-,15,+,+,20,+,+
BSI_E,13,+,+,21,+,-,18,+,+,5,+,+,8,+,+
NEWCASTLE_COAL_lag1,14,-,-,12,+,-,11,+,-,20,-,-,11,-,-
Oman_lag1,15,-,+,13,-,+,13,-,+,11,-,+,14,-,+
ask_ratio_last,16,+,+,14,+,+,9,+,+,19,+,+,10,+,+
CCI,17,+,+,33,+,-,8,+,+,33,-,+,17,-,+
KRX_ENERGY_lag1,18,+,+,19,+,+,19,+,+,18,+,+,23,+,+
smp_window_days,19,-,-,17,-,-,27,-,-,14,-,-,13,-,-
KRX_ENG,20,+,+,22,-,+,28,+,+,10,-,+,21,-,+
ta_avg_dev_abs_window_max,21,-,-,25,-,-,21,-,-,17,-,-,32,-,-
ta_avg_window_mean,22,+,+,26,-,+,22,+,+,23,-,+,18,-,-
USD,23,-,-,16,-,-,24,+,+,28,-,-,33,-,-
KRX_CEMENT,24,+,-,23,+,-,26,+,-,25,-,-,26,-,-
HH_GAS,25,-,-,24,-,-,25,-,-,22,-,-,27,-,-
NEWCASTLE_COAL,26,+,-,18,-,-,33,+,+,30,-,-,15,-,-
BOND_BBB_roll5_mean,27,-,-,20,-,-,30,+,-,27,-,-,22,-,-
ta_avg_dev_abs_window_mean,28,-,-,27,-,-,23,-,-,38,-,-,24,-,-
ta_avg,29,+,+,28,-,+,29,+,+,24,-,+,19,-,-
WTI,30,+,+,32,+,+,32,+,+,16,-,+,31,+,-
KRX_ENERGY,31,+,+,31,-,+,34,-,+,36,+,+,28,-,+
smp_window_mean_roll5_mean,32,+,+,29,+,+,40,+,+,26,-,+,34,-,+
CPI,33,-,+,49,-,-,16,+,+,53,+,-,51,-,-
IIP_STEEL,34,-,-,37,-,+,20,-,-,48,+,-,46,+,-
BOND_3Y,35,-,-,30,-,-,42,+,-,35,-,-,30,-,-
KRX_SEMICON,36,-,+,39,+,+,39,-,+,31,+,+,25,-,+
Brent,37,-,+,35,+,-,31,+,+,34,-,+,43,-,-
rn_day_window_sum,38,-,-,44,-,-,35,-,-,41,-,-,39,-,-
ta_avg_dev_abs,39,+,-,41,+,-,38,+,-,51,+,+,29,-,-
KOSPI,40,+,+,45,+,+,46,+,+,21,-,+,36,+,+
rn_day_window_mean,41,+,-,46,-,-,37,-,-,45,-,-,42,-,-
IIP_MFG,42,-,-,40,+,-,47,-,-,39,+,-,41,+,-
GDP,43,-,-,54,+,+,36,+,-,43,+,-,55,+,+
Oman_roll5_mean,44,+,-,58,-,+,41,-,-,40,-,-,52,+,-
NEWCASTLE_COAL_roll5_mean,45,-,-,34,-,-,50,-,+,46,-,+,50,+,+
smp_window_mean_lag1,46,+,+,42,-,+,43,+,+,52,+,+,54,-,+
Oman_roll20_mean,47,+,+,47,+,+,51,+,+,37,-,+,49,+,+
weather_window_days,48,-,-,43,-,-,53,-,-,44,-,-,45,-,-
BSI_P,49,-,+,56,+,-,57,-,-,32,+,+,37,-,+
ta_avg_dev_window_mean,50,-,+,51,-,+,48,-,+,55,-,-,44,-,-
CREDIT_SPREAD,51,-,+,57,+,+,44,+,+,47,+,+,60,+,+
ta_avg_dev,52,+,+,53,-,+,52,+,+,54,-,+,38,-,-
Dubai,53,-,+,52,+,-,49,-,+,50,+,+,56,-,-
NEWCASTLE_COAL_roll20_mean,54,-,-,38,-,-,56,-,-,56,-,-,48,-,-
rn_day,55,-,-,55,-,-,55,-,-,49,-,-,40,-,-
IMPORT,56,-,+,59,+,+,45,-,+,59,+,+,59,+,+
BOND_BBB,57,-,-,36,-,-,61,-,-,61,+,-,58,-,-
KRX_IRON,58,-,-,50,+,-,58,-,-,60,-,+,47,-,-
IIP_CHEM,59,-,-,60,-,+,60,-,-,42,-,-,61,+,+
BOND_BBB_lag1,60,-,-,48,-,-,62,-,-,62,-,-,53,+,-
Oman,61,-,+,63,+,-,54,-,+,57,-,+,64,-,-
EXPORT,62,+,+,62,+,+,65,+,+,58,-,+,57,+,+
PPI,63,+,-,61,+,-,66,-,+,63,+,+,63,+,+
CAP_UTIL,64,+,+,66,+,+,64,+,-,66,+,+,62,+,+
FV_KAU19,65,+,+,64,+,+,63,+,+,65,+,+,66,+,+
ask_ratio_last_known,66,+,+,69,+,-,59,+,+,69,+,-,68,+,-
FV_KAU22,67,-,-,67,-,-,67,-,-,64,-,-,65,-,-
vintage_bucket,68,+,-,65,+,-,69,+,-,68,+,-,67,+,-
FV_KAU24,69,-,-,68,-,-,68,-,-,67,-,-,69,-,-
FV_KAU23,70,+,+,70,+,+,70,-,-,70,+,+,70,-,-
auction_window5,71,-,-,73,-,-,71,+,+,71,-,-,72,-,-
auction_window7,72,-,-,71,-,-,72,-,-,72,-,-,73,+,+
CALL,73,-,-,72,+,-,73,+,-,74,-,-,71,+,-
FV_KAU20,74,-,-,74,-,-,74,-,-,73,-,-,74,-,-
phase,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
FV_KAU17,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
FV_KAU18,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
FV_KAU21,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
vintage_transition,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
FV_KAU25,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
prev_vintage_transition,75,+,-,75,+,-,75,+,-,75,+,-,75,+,-
