Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
KRX_ENERGY_roll20_mean,0.04626534212796416,0.04626534212796416,0.8109165477411512,0.09837581288352915,0.05450387583519014,+,+,+,VIX_KR,0.3555279180283121,0.3555279180283121,-0.7305586620096063,-0.15852506779388867,-0.0963152142109016,-,-,-
BOND_BBB_roll20_mean,0.03772515117038892,0.03772515117038892,0.2989398629400856,0.11741566074644917,0.1635018485272467,+,+,+,USD_CNY,0.14572875169513413,0.14572875169513413,-0.842585246372104,-0.32212803267014123,-0.16217512603776327,-,-,-
ask_ratio_last,0.03063698913663464,0.04894940056095057,0.843435114366781,0.057778971858140356,0.0,+,+,+,GDP,0.08162735983954204,0.09810716003821221,-0.9753722462503106,-0.53475204639189,-0.53475204639189,-,-,-
IND_ORDER,0.029596938139568322,0.042809268654235476,0.11962164882898645,0.019806253558956273,0.014120251783047873,+,+,+,USD,0.04835632363066517,0.04835632363066517,-0.8765424338389248,-0.27837247934853815,-0.20693919662688073,-,-,-
ta_avg_window_mean,0.020276332419051468,0.042681242246674425,0.6307717151583874,0.16866511519830388,0.05590532597300879,+,+,+,KRX_IRON,0.03417809109678987,0.03417809109678987,-0.45162118000643503,-0.02491930459979176,-0.054073195887849874,-,-,-
smp_window_mean,0.0185259106950798,0.0185259106950798,0.09290925428079606,0.007195953804936748,-0.023115634949425853,+,+,-,ta_avg_dev_abs_window_mean,0.02661840580144566,0.1013770720594204,-0.6238316919071786,-0.14987531661334713,-0.09503708521542056,-,-,-
Oman_lag1,0.01709181764645856,0.03289959613706692,0.6894585836127316,0.03959498682496224,0.006116921296928941,+,+,+,bid_qty_window,0.02622193800757291,0.054788430960307555,-0.9905300170335386,-0.26608784837746013,-0.26608784837746013,-,-,-
ta_avg,0.01424448344598594,0.025842149998314766,0.9300619130543735,0.09586035060256969,0.09398392600644909,+,+,+,PPI,0.02569833647396471,0.02569833647396471,-0.378154648257275,-0.04933971173461195,0.0016250982311286012,-,-,+
smp_window_mean_roll5_mean,0.013109836775933479,0.013109836775933479,0.519140547214776,0.0418971901155178,0.0686578649333283,+,+,+,HH_GAS,0.022076254473632036,0.0339955409411183,-0.8715602867561363,-0.1618932539385569,-0.6717459887980707,-,-,-
BOND_BBB_roll5_mean,0.013004465446686356,0.013004465446686356,0.27588010941314395,0.08868017794251812,0.7126062418932408,+,+,+,ta_avg_dev_abs,0.020810262653376405,0.06416643859328475,-0.6109178907548788,-0.0995585352902453,0.021740361533161,-,-,+
NEWCASTLE_COAL,0.010346654746099374,0.010346654746099374,0.0366418129603015,0.002661662544883408,-0.03509365182267569,+,+,-,smp_window_days,0.01951918545196771,0.05219018132178843,-0.9853826639167854,-0.13101019797382965,-0.13101019797382965,-,-,-
KRX_ENERGY_lag1,0.00912892115296927,0.010575229806058236,0.44486946072651734,0.013578554401345465,-0.04707133397566221,+,+,-,Oman_roll5_mean,0.01851506301549826,0.03508809385885355,-0.9183644504950841,-0.06777662263666986,0.003598655546579077,-,-,+
ta_avg_dev_window_mean,0.007241441838391436,0.02810870539576449,0.6103082089556798,0.05148614126045422,0.0031256950569036623,+,+,+,BSI_E,0.018213811195512658,0.018213811195512658,-0.333491374513195,-0.04346570942822106,-0.04346570942822106,-,-,-
KRX_SEMICON,0.007008030421306038,0.01345873658502537,0.22288883185096978,0.005867199525422975,0.03551940740393595,+,+,+,smp_window_mean_roll20_mean,0.016684027176043593,0.016684027176043593,-0.5444760795590003,-0.026896956625010727,0.010803087067412556,-,-,+
CREDIT_SPREAD,0.005226666956475906,0.00925145227067518,0.8955817216353978,0.07675422527923323,0.059607473228489104,+,+,+,KRX_ENERGY_roll5_mean,0.015943669736434456,0.015943669736434456,-0.7962134027396897,-0.039719625434200906,-0.057648128051913244,-,-,-
ta_avg_dev,0.004370868203031933,0.007921869666859609,0.8565203148000231,0.02725915903256328,0.023111341210900346,+,+,+,SMP_MEAN,0.012714494376549998,0.013498304637293835,-0.8047332366998453,-0.16324734280479145,-0.0473977071523737,-,-,-
BOND_BBB_lag1,0.004216644686006736,0.004216644686006736,0.5962373453681518,0.060427833522955145,0.07585954994215306,+,+,+,ta_avg_dev_abs_window_max,0.012651731174267168,0.025586553159967575,-0.852975517150835,-0.06560127228898967,-0.06894157782606156,-,-,-
IIP_STEEL,0.004205161645076519,0.008278476495750042,0.8999896140386155,0.03322663270808228,-0.006263935357322447,+,+,-,NEWCASTLE_COAL_lag1,0.010874688972613577,0.010874688972613577,-0.7331281812260513,-0.17004255652937356,0.04582679918999692,-,-,+
smp_window_mean_lag1,0.003804648332342953,0.007465312604961591,0.5732137227290448,0.06494075805478776,0.059639803267291056,+,+,+,rn_day_window_mean,0.010401201650902291,0.023805624078503375,-0.6770762365977817,-0.3641124852321452,-3.6556306045635925,-,-,-
Oman,0.0026151364917755666,0.004913021191034602,0.03674149759499075,0.00035896993779076285,0.017288760623221735,+,+,+,weather_window_days,0.01016262424665196,0.026952573773312432,-0.9435299735379153,-0.0632528285839039,-0.0632528285839039,-,-,-
CCI,0.0020862595979964935,0.0030042421728306247,0.47550638988551286,0.02657091041777983,0.02657091041777983,+,+,+,KRX_ENG,0.009633641072655985,0.009633641072655985,-0.6410489459575275,-0.038440990455898806,-0.007896605382980447,-,-,-
BOND_BBB,0.0017284931115622321,0.003035844668984586,0.3533467575573414,0.048507732253177296,0.05647516773351058,+,+,+,CLI,0.00917385777679101,0.00917385777679101,-0.06229739887533032,-0.004356811002215091,0.015128841196122721,-,-,+
,,,,,,,,,Brent,0.00895947964570691,0.021490030444456576,-0.58470085557135,-0.038634472451236065,-0.013744419130472632,-,-,-
,,,,,,,,,WTI,0.008812448852842991,0.017965851776635712,-0.5027920143500362,-0.046770982475332026,-0.20221631207849158,-,-,-
,,,,,,,,,Oman_roll20_mean,0.008812128552717695,0.015830578643077388,-0.6460276394770098,-0.019461032864912957,-0.042734575121053324,-,-,-
,,,,,,,,,rn_day_window_sum,0.00799065373522613,0.01754053789276709,-0.775562304236386,-0.25894860303100514,-0.42658196830246425,-,-,-
,,,,,,,,,KRX_CEMENT,0.00786775228638167,0.014465832171293613,-0.5414253656293566,-0.006734311255749732,0.00025427187828068384,-,-,+
,,,,,,,,,IIP_MFG,0.007650152183677422,0.009827807746246,-0.9643275757748809,-0.03056346857065442,0.0,-,-,+
,,,,,,,,,BOND_3Y,0.0069177196554678,0.0069177196554678,-0.7196809077783595,-0.0653286110496001,0.006842496814514248,-,-,+
,,,,,,,,,NEWCASTLE_COAL_roll20_mean,0.006628079707360743,0.006628079707360743,-0.16023063933047163,-0.010769716096627661,0.028600006794065515,-,-,+
,,,,,,,,,Dubai,0.006177611133095652,0.009954739087940347,-0.09768336233220347,-0.0024703070513066652,-0.005650371210326779,-,-,-
,,,,,,,,,KRX_ENERGY,0.005757856470789064,0.01192164538395938,-0.8502981343960035,-0.047665630637589745,-0.10326366027852488,-,-,-
,,,,,,,,,NEWCASTLE_COAL_roll5_mean,0.00505581631120809,0.0075158416471216094,-0.8575087519001664,-0.11632039412081988,-0.026207270978960986,-,-,-
,,,,,,,,,KOSPI,0.0050114586601713584,0.00836876869038483,-0.7648877081516631,-0.0284054903625826,-0.0014305402261404864,-,-,-
,,,,,,,,,EXPORT,0.004536851401857606,0.005521160115961471,-0.38797292081640583,-0.01830880526700834,0.007964620704918181,-,-,+
,,,,,,,,,BSI_P,0.0036346877638685055,0.0036346877638685055,-0.7891813941916024,-0.051575020442291473,-0.0017399820437006795,-,-,-
,,,,,,,,,CPI,0.003566918841217037,0.005371284577413463,-0.6234504344198913,-0.06910337440028898,0.0015054788665352392,-,-,+
,,,,,,,,,rn_day,0.003110034643660323,0.006422812117335168,-0.6888442169967993,-0.10015442224024612,-0.5117907545172908,-,-,-
,,,,,,,,,IMPORT,0.002838307285076422,0.003624910534439687,-0.2950557047683269,-0.0052956853843884166,-0.004868227426098009,-,-,-
,,,,,,,,,IIP_CHEM,0.002432689313900483,0.004649724351355878,-0.7909255335613917,-0.014726797740402989,0.0,-,-,+
,,,,,,,,,CAP_UTIL,0.0012897524648419025,0.001833270453626786,-0.26569574564142306,-0.0033740490762916037,0.0,-,-,+
,,,,,,,,,auction_window7,0.0009657944954376165,0.0021833171262876224,-0.9169368565926083,-0.002183317126287622,-0.002183317126287622,-,-,-
,,,,,,,,,auction_window5,0.0008126317780806858,0.001692380864892454,-0.5501948520528102,-0.001460131039564658,-0.001460131039564658,-,-,-
,,,,,,,,,vintage_bucket,0.0003587857125759391,0.0007243325688253734,-0.043962151082017946,-0.00022649907872318678,-0.00022649907872318678,-,-,-
