Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
ask_ratio_last,0.13805580496623018,0.1905830158098176,0.9673849742104282,0.204022935941048,0.0,+,+,+,bid_qty_window,0.0634829342383039,0.13833937387275946,-0.9880445576783939,-0.6779260050823469,-0.6779260050823469,-,-,-
KRX_ENERGY_roll20_mean,0.07354294025614957,0.08513279517675883,0.9236826125773612,0.547052573354714,0.7443522987669707,+,+,+,GDP,0.051824025141309,0.05851111079246196,-0.9812137882119172,-0.3209097927644805,-0.3209097927644805,-,-,-
Oman_lag1,0.04844054688806409,0.09385992088297218,0.804775278310108,0.12713268601929267,0.009977779710597347,+,+,+,IIP_CHEM,0.009863895474217576,0.020111405355176037,-0.9623920949364296,-0.07719520909251322,-0.008573010011136209,-,-,-
KRX_ENERGY_lag1,0.02396882303077096,0.02977271475100879,0.7871318153269433,0.08103088210485078,-0.06355144618338901,+,+,-,smp_window_days,0.05544618812250323,0.14665478627975717,-0.9516257316303536,-0.3480187691012737,-0.3480187691012737,-,-,-
PPI,0.015547035978168937,0.015547035978168937,0.7427896761675951,0.10154433416700681,-0.000756442059806136,+,+,-,weather_window_days,0.01774362666357385,0.04634158140024616,-0.945145167782438,-0.11099754473137062,-0.11099754473137062,-,-,-
IMPORT,0.015849474808785225,0.015849474808785225,0.7191426230017397,0.05550023879699806,0.014465516460245445,+,+,+,auction_window7,0.003403531799806062,0.007698904705238116,-0.8562662714033339,-0.007052671412040901,-0.007052671412040901,-,-,-
IND_ORDER,0.04557070834490536,0.05005606329350428,0.7060823050429849,0.17537426254311267,0.0,+,+,+,HH_GAS,0.037258684794189444,0.0490361664685561,-0.8464676929499847,-0.13017220500211496,-0.5943897949421998,-,-,-
Dubai,0.03276203715450395,0.061899470934922304,0.6723689218265038,0.09977898474441814,-0.0023532945182230874,+,+,-,BSI_P,0.004925767960712619,0.009560099205070942,-0.8276832278339972,-0.19878028875299228,0.0027839712699210873,-,-,+
IIP_STEEL,0.004838164324527757,0.006709885891678519,0.6694883664382629,0.02083109881250913,0.006051536478449088,+,+,+,Oman_roll5_mean,0.02078169063676163,0.044216251601693096,-0.7936055211663219,-0.06442813053888864,-0.003219875049589589,-,-,-
NEWCASTLE_COAL_roll20_mean,0.007735484404332901,0.017065606344518564,0.6427399747941648,0.2011342479243842,0.10367448356322405,+,+,+,CLI,0.010369808583592596,0.010369808583592596,-0.793112098720498,-0.06192105575801035,-0.003025768239224544,-,-,-
ta_avg_dev_window_mean,0.012585045852938487,0.02879972626150647,0.6239384260938794,0.08500360234258261,0.009298310581622579,+,+,+,BOND_BBB_roll5_mean,0.006051522368707087,0.006051522368707087,-0.7474196782006072,-0.13754676267519667,-0.087631590564582,-,-,-
NEWCASTLE_COAL,0.016079025377839572,0.016079025377839572,0.6179666666926853,0.10158626620203513,-0.011622474869958554,+,+,-,CPI,0.0021055510917033513,0.003550721956035657,-0.7286483353486604,-0.06472730188787118,-0.00011201940130398525,-,-,-
KRX_SEMICON,0.07501808023127006,0.07501808023127006,0.6160738244419933,0.02315558674610661,0.05539614354406287,+,+,+,SMP_MEAN,0.013895301836342761,0.014974655491243402,-0.7062986253918844,-0.22017907093610978,-0.06543385682596234,-,-,-
ta_avg_window_mean,0.033252078665858074,0.07394204106211077,0.5751536649804043,0.17480095362040035,0.004743892398304104,+,+,+,BOND_BBB_roll20_mean,0.04725858422446728,0.04725858422446728,-0.7054210495377649,-0.3278349358108925,0.011613450031777384,-,-,+
CREDIT_SPREAD,0.0037611513427145836,0.00783795056954356,0.507762083004015,0.03998712544662618,0.023042886415259034,+,+,+,rn_day_window_sum,0.020046592165583983,0.0467422463397479,-0.6977723433173587,-0.6441502533322593,-2.6689601728417194,-,-,-
smp_window_mean_lag1,0.014198801257022884,0.02897223967291189,0.5042873827410915,0.215303967967534,-0.000928457707004836,+,+,-,BOND_BBB_lag1,0.006860442425087447,0.006860442425087447,-0.6941415058142152,-0.10586893521600184,-0.22385306799480817,-,-,-
ta_avg,0.030132553300623918,0.05672944740514207,0.49151990377851834,0.08322732854747095,0.013517849477892812,+,+,+,ta_avg_dev_abs_window_max,0.0427016129869001,0.08673408144314892,-0.6767005381520429,-0.18466807886564277,-0.31240646151337387,-,-,-
BOND_BBB,0.002134299366525088,0.003494505999381614,0.45528560521271333,0.06241447568996627,-0.07637273193867603,+,+,-,BOND_3Y,0.013951062342772746,0.015239125476898154,-0.6607594256142705,-0.11270039262944256,-0.008526184853635408,-,-,-
smp_window_mean,0.019187030750748426,0.020744889458260498,0.45238948770152687,0.095204385845745,0.07551085440906284,+,+,+,VIX_KR,0.44845437552867734,0.44845437552867734,-0.6596693328517294,-0.1531548830104872,-0.20039539618629776,-,-,-
CAP_UTIL,0.004310269807566393,0.008542843602078656,0.45043506656316573,0.026427213161170353,0.0,+,+,+,USD,0.045053313263939736,0.045053313263939736,-0.6322665248810081,-0.1601082093696702,-0.2679505909539478,-,-,-
auction_window5,0.0007216288375834014,0.001537527978591416,0.4072358675215066,0.0008077020542677927,0.0008077020542677927,+,+,+,Oman_roll20_mean,0.011422836275208154,0.01994537561667579,-0.6184215588543471,-0.023754771905737077,-0.05603327247068785,-,-,-
USD_CNY,0.06160437087480334,0.06160437087480334,0.3554832886502258,0.05216335678136902,0.09811025321237422,+,+,+,ta_avg_dev_abs_window_mean,0.03824105880624205,0.08409435060769342,-0.571432337766429,-0.1599899479662185,-0.22512156410902628,-,-,-
KRX_ENERGY_roll5_mean,0.013540601141353362,0.014964819544085583,0.3186127078090247,0.01350931443202108,-0.029208440669285275,+,+,-,smp_window_mean_roll5_mean,0.012539035390591707,0.018226572151356635,-0.5625792216443548,-0.12652050289417568,-0.06301758963973011,-,-,-
ta_avg_dev,0.009764572389118644,0.0184198242090617,0.21658139095807435,0.014662674503617832,0.06238342766636953,+,+,+,WTI,0.04070537506732437,0.08558812491740464,-0.5556722804691097,-0.17296203887162595,-0.49244759481135447,-,-,-
