Algorithm,Hyperparameter,Tuning Range,Best Value
MLP,n_layers,User Fixed,1
MLP,l2_regularization,User Fixed,1.261549584635478e-05
MLP,batch_normalization,User Fixed,True
MLP,hidden_activation,User Fixed,gelu
MLP,dropout,User Fixed,0.3745400805914433
MLP,batch_size,User Fixed,64
MLP,optimizer,User Fixed,sgd
MLP,learning_rate,User Fixed,0.0015274305038740742
MLP,first_layer_nodes,User Fixed,128
MLP,shape,User Fixed,funnel
CNN,n_layers,User Fixed,1
CNN,l2_regularization,User Fixed,1.9462243415279592e-05
CNN,batch_normalization,User Fixed,False
CNN,hidden_activation,User Fixed,gelu
CNN,dropout,User Fixed,0.1632748734926488
CNN,batch_size,User Fixed,32
CNN,optimizer,User Fixed,adam
CNN,learning_rate,User Fixed,0.0001858783341297633
CNN,base_filters,User Fixed,32
CNN,kernel_size,User Fixed,5
