Algorithm,Hyperparameter,Tuning Range,Best Value
Logistic Regression,solver,Optuna Auto,liblinear
Logistic Regression,penalty,Optuna Auto,l2
Logistic Regression,C,Optuna Auto,0.0027707367368844096
Logistic Regression,class_weight,Optuna Auto,balanced
Logistic Regression,max_iter,Optuna Auto,1503
Logistic Regression,random_state,Optuna Auto,123
Random Forest,n_estimators,Optuna Auto,700
Random Forest,max_depth,Optuna Auto,
Random Forest,max_features,Optuna Auto,sqrt
Random Forest,min_samples_split,Optuna Auto,10
Random Forest,min_samples_leaf,Optuna Auto,1
Random Forest,bootstrap,Optuna Auto,False
Random Forest,random_state,Optuna Auto,123
Random Forest,n_jobs,Optuna Auto,-1
Random Forest,class_weight,Optuna Auto,balanced_subsample
XGBoost,n_estimators,Optuna Auto,350
XGBoost,max_depth,Optuna Auto,4
XGBoost,learning_rate,Optuna Auto,0.006448990442426056
XGBoost,subsample,Optuna Auto,0.8560373816837414
XGBoost,colsample_bytree,Optuna Auto,0.7462604093693892
XGBoost,min_child_weight,Optuna Auto,2.102052348560603
XGBoost,gamma,Optuna Auto,1.0225032956235114
XGBoost,reg_alpha,Optuna Auto,0.018501361513562412
XGBoost,reg_lambda,Optuna Auto,1.2171782188617454e-06
XGBoost,random_state,Optuna Auto,123
XGBoost,n_jobs,Optuna Auto,-1
XGBoost,tree_method,Optuna Auto,hist
XGBoost,verbosity,Optuna Auto,0
XGBoost,scale_pos_weight,Optuna Auto,4.336097080745497
LightGBM,n_estimators,Optuna Auto,900
LightGBM,learning_rate,Optuna Auto,0.2918741783583672
LightGBM,num_leaves,Optuna Auto,171
LightGBM,max_depth,Optuna Auto,13
LightGBM,min_child_samples,Optuna Auto,53
LightGBM,subsample,Optuna Auto,0.8190527716985017
LightGBM,colsample_bytree,Optuna Auto,0.9235869588611944
LightGBM,min_split_gain,Optuna Auto,0.18385905345147785
LightGBM,extra_trees,Optuna Auto,True
LightGBM,reg_alpha,Optuna Auto,6.99999383205945e-08
LightGBM,reg_lambda,Optuna Auto,4.119264785813593e-06
LightGBM,random_state,Optuna Auto,123
LightGBM,n_jobs,Optuna Auto,-1
LightGBM,verbose,Optuna Auto,-1
LightGBM,class_weight,Optuna Auto,balanced
CatBoost,iterations,Optuna Auto,700
CatBoost,depth,Optuna Auto,6
CatBoost,learning_rate,Optuna Auto,0.09678421437223023
CatBoost,l2_leaf_reg,Optuna Auto,5.18034041674566
CatBoost,subsample,Optuna Auto,0.972791126693794
CatBoost,grow_policy,Optuna Auto,Depthwise
CatBoost,random_state,Optuna Auto,123
CatBoost,verbose,Optuna Auto,0
CatBoost,allow_writing_files,Optuna Auto,False
