Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,1510,535,346,409,220,0.5667372881355932,0.7086092715231788,0.4582781456953642,0.6297822248381401,0.5834437086092715,0.5834437086092715,0.6269356607166352
Random Forest,Train set,1510,755,755,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Train set,1510,755,118,637,0,0.5423850574712644,1.0,0.1562913907284768,0.7033069399161621,0.5781456953642384,0.5781456953642384,0.8514389719749135
LightGBM,Train set,1510,645,632,123,110,0.83984375,0.8543046357615894,0.8370860927152318,0.8470124753775443,0.8456953642384106,0.8456953642384106,0.9261102583220034
CatBoost,Train set,1510,755,755,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP,Train set,1510,755,0,755,0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.4473522901535034
CNN,Train set,1510,412,392,363,343,0.5316129326820374,0.5456953644752502,0.519205298013245,0.5385621067342926,0.5324503183364868,0.5324503312442477,0.543579638004303
Logistic Regression,Validation(CV),186,83,0,103,0,0.4462365591397849,1.0,0.0,0.6171003717472119,0.4462365591397849,0.5,0.5063750146215932
Random Forest,Validation(CV),186,58,31,72,25,0.4461538461538462,0.6987951807228916,0.3009708737864077,0.5446009389671361,0.478494623655914,0.4998830272546496,0.4908176394899988
XGBoost,Validation(CV),186,83,1,102,0,0.4486486486486487,1.0,0.0097087378640776,0.6194029850746269,0.4516129032258064,0.5048543689320388,0.4814598198619721
LightGBM,Validation(CV),186,71,20,83,12,0.461038961038961,0.8554216867469879,0.1941747572815534,0.5991561181434599,0.489247311827957,0.5247982220142706,0.4698795180722891
CatBoost,Validation(CV),186,52,46,57,31,0.4571428571428571,0.7710843373493976,0.2621359223300971,0.5739910313901345,0.489247311827957,0.5166101298397474,0.5054392326587905
MLP,Validation(CV),186,83,0,103,0,0.4462365508079529,1.0,0.0,0.6171003637802666,0.4462365508079529,0.5,0.5462042689323425
CNN,Validation(CV),186,4,97,6,79,0.4000000059604645,0.0481927692890167,0.941747572815534,0.0860215026541987,0.5430107712745667,0.4949701710522753,0.5048543810844421
Logistic Regression,Test set,56,17,9,19,11,0.4722222222222222,0.6071428571428571,0.3214285714285714,0.53125,0.4642857142857143,0.4642857142857143,0.5140306122448979
Random Forest,Test set,56,5,22,6,23,0.4545454545454545,0.1785714285714285,0.7857142857142857,0.2564102564102564,0.4821428571428571,0.4821428571428571,0.5012755102040816
XGBoost,Test set,56,28,1,27,0,0.509090909090909,1.0,0.0357142857142857,0.6746987951807228,0.5178571428571429,0.5178571428571429,0.5178571428571429
LightGBM,Test set,56,16,15,13,12,0.5517241379310345,0.5714285714285714,0.5357142857142857,0.5614035087719298,0.5535714285714286,0.5535714285714286,0.4923469387755101
CatBoost,Test set,56,1,27,1,27,0.5,0.0357142857142857,0.9642857142857144,0.0666666666666666,0.5,0.5,0.5306122448979591
MLP,Test set,56,28,0,28,0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.5593112111091614
CNN,Test set,56,3,27,1,25,0.75,0.1071428582072258,0.9642857142857144,0.1875000016298145,0.5357142686843872,0.5357142862464701,0.4464285671710968
Logistic Regression,Entire population,1566,552,355,428,231,0.563265306122449,0.7049808429118773,0.4533844189016602,0.6262053318207601,0.5791826309067688,0.5791826309067688,0.6244183144698404
Random Forest,Entire population,1566,760,777,6,23,0.9921671018276762,0.9706257982120052,0.992337164750958,0.9812782440284056,0.9814814814814816,0.9814814814814816,0.9992660119493256
XGBoost,Entire population,1566,783,119,664,0,0.5411195577055978,1.0,0.1519795657726692,0.7022421524663677,0.5759897828863346,0.5759897828863346,0.8382689952029803
LightGBM,Entire population,1566,661,647,136,122,0.8293601003764115,0.8441890166028098,0.8263090676883781,0.8367088607594937,0.8352490421455939,0.8352490421455939,0.9146208788609812
CatBoost,Entire population,1566,756,782,1,27,0.998678996036988,0.9655172413793104,0.9987228607918264,0.9818181818181818,0.9821200510855684,0.9821200510855684,0.9823255677397572
MLP,Entire population,1566,783,0,783,0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.4505161643028259
CNN,Entire population,1566,415,419,364,368,0.5327342748641968,0.5300127863883972,0.5351213282247765,0.5313700460250246,0.532567024230957,0.5325670573065868,0.5405194163322449
