"ID","문A1-1.귀하께서 참여하신 교육 과정은 무엇입니까?","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 1)일정 장소에서 강사가 강의하는 강좌","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 2)직장 내 직무 연수 프로그램","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 3)원격/사이버 강좌 수강","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 4)전문적인 세미나 및 워크숍^학습 동아리","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 5)기타 강좌 및 개인교습","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (1)학력보완 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (2)성인기초 및 문자해득교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (3)직업능력향상교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (4)인문교양교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (5)문화예술 스포츠 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (6)시민참여교육","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 1)가족^ 친구 또는 직장동료나 상사의 도움이나 조언을 통해 학습한 적이 ?F1","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 2)컴퓨터나 인터넷을 활용해서 새로운 정보나 사실을 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 3)학습을 목적으로 텔레비전^ 라디오^ 비디오를 활용해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 4)인쇄매체(책이나 전문잡지 등)를 활용해서 학습해 본 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 5)역사적.자연적.산업적 장소를 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 6)도서관 등을 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 7)축제^ 박람회^ 음악회 등을 통해 학습한 적이 있다","문E1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 교육과 학습 참여를 목적으로 관련 정보를 찾아본 경험이 있습니까?","문E1-1.귀하께서는 원하시는 정보를 얻으셨습니까?","문F1-(1).학습경험여부 - 1)영어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 1)영어","문F1-(1).학습경험여부 - 2)중국어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 2)중국어","문F1-(1).학습경험여부 - 3)일본어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 3)일본어","문F2.지난 1년 간(2013년 7월 ~ 2014년 6월) 해당 외국어를 얼마나 자주 사용하셨습니까? - 1)영어","문F5-1) 컴퓨터 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-2) 워드프로세서(한글^ MS 워드 등) 작성.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-3) 엑셀 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문G2.귀하께서는 대다수의 사람들이 기회만 있으면 당신을 이용하려고 한다고 생각하십니까 아니면 정당하게 대우해 준다고 생각하십니까?","문G6.귀하께서는 정치에 얼마나 관심을 갖고 계십니까?","문G13.귀하의 건강은 전반적으로 어떠십니까?","문G15-1.평생학습 참여가 삶의 질 향상에 얼마나 도움이 되었습니까? 또는 평생학습에 참여하지 않으셨다면 얼마나 도움이 될 것이라고 생각하십니까?","성별","연령별(10세)","학력별","경활상태","월 가구소득","지역","가중치","형식교육","비형식교육","전체참여자","직업관련비형식참여자","형식학습 투자시간","비형식교육 투여시간(전체)","직업관련 비형식교육 투여시간","평생학습 개인투자 비용(전체)","형식학습 투자비용","비형식교육  개인투자비용(전체)"
100001,,2,2,2,2,2,,,,,,,1,1,1,1,2,1,2,2,,1,1,2,,2,,1,4,4,4,5,3,4,4,1,1,3,2,1,1,8027.1110478,2,2,2,2,,,,,,
10001,5,2,2,2,2,2,,,,,,,2,1,1,2,1,2,2,2,,1,2,2,,1,2,3,3,4,3,5,3,3,3,2,2,3,3,3,2,2192.6431376,1,2,1,2,640,,,240,240,
10002,,2,2,2,2,2,,,,,,,2,1,2,2,2,2,2,1,1,1,2,2,,1,2,4,3,3,2,4,2,3,2,1,2,3,1,3,2,2549.0997456,2,2,2,2,,,,,,
1001,,2,2,2,2,2,,,,,,,1,1,1,1,2,2,2,2,,1,2,2,,2,,1,3,2,1,9,2,4,4,2,2,2,1,3,2,3353.2578175,2,2,2,2,,,,,,
100101,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,,2,,5,4,4,3,9,3,3,4,1,2,3,1,3,1,3620.1948213,2,1,1,2,,12,,10,,10
100202,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,2,1,1,1,2,2,,2,,1,4,4,4,9,3,5,4,2,2,2,1,2,1,2710.1801053,2,2,2,2,,,,,,
100301,,2,2,2,2,2,,,,,,,1,1,1,1,2,2,1,2,,1,2,2,,2,,1,4,4,2,5,1,3,4,2,1,3,3,3,1,2948.6262629,2,2,2,2,,,,,,
100302,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,1,2,,1,2,2,,2,,1,4,4,4,6,2,3,4,1,2,3,1,3,1,3620.1948213,2,2,2,2,,,,,,
100401,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,2,2,,1,2,2,,2,,1,2,2,1,8,1,2,4,2,4,2,1,2,1,2202.5441044,2,2,2,2,,,,,,
100501,,2,2,2,2,2,,,,,,,1,1,1,2,1,2,1,2,,1,2,2,,2,,1,2,2,1,8,2,3,4,2,4,2,1,4,1,2339.6382012,2,2,2,2,,,,,,
100502,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,2,,1,2,2,,2,,1,2,2,1,2,2,3,4,1,4,3,1,4,1,3586.378525,2,2,2,2,,,,,,
100601,,2,2,2,2,2,,,,,,,1,1,1,2,1,2,1,2,,1,2,2,,2,,1,2,1,1,7,3,3,4,1,4,2,3,2,1,5364.7295236,2,2,2,2,,,,,,
100602,,2,2,2,2,2,,,,,,,1,2,1,2,1,2,1,2,,1,2,2,,2,,1,1,1,1,7,1,3,4,2,3,1,1,2,1,6188.0005982,2,2,2,2,,,,,,
100701,,2,2,2,2,1,0,0,0,0,1,0,1,2,1,1,1,2,2,2,,1,2,2,,2,,1,1,1,1,8,1,5,4,2,4,2,3,2,1,4212.4997242,2,1,1,2,,288,,696,,696
100801,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,,1,2,5,4,4,4,9,3,5,4,1,1,3,1,3,1,10397.025131,2,2,2,2,,,,,,
100901,5,2,1,2,2,2,0,0,1,0,0,0,2,1,2,1,1,2,1,1,2,1,2,2,,1,2,3,2,2,2,4,3,4,4,2,2,3,1,4,1,4879.657436,1,1,1,1,80,88,88,106,100,6
100902,,2,1,2,2,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,3,3,2,5,3,3,3,1,3,3,1,4,1,6826.5563638,2,1,1,1,,84,84,10,,10
101,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,2,1,1,1,2,2,,2,,1,2,2,2,6,2,4,3,1,3,3,1,2,1,2677.7748551,2,2,2,2,,,,,,
101001,,2,2,2,2,2,,,,,,,1,1,1,1,1,2,1,2,,1,1,2,,2,,5,4,4,4,10,2,3,4,2,1,3,1,3,1,5308.977821,2,2,2,2,,,,,,
10101,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,2,1,1,1,2,2,,2,,5,2,3,2,8,4,3,5,2,2,3,3,2,2,2604.6401584,2,2,2,2,,,,,,
10102,,2,2,2,2,2,,,,,,,2,1,2,1,2,1,1,1,2,1,2,2,,2,,3,4,4,4,4,4,3,4,1,2,2,2,2,2,3778.5383177,2,2,2,2,,,,,,
101102,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,,1,2,2,,1,2,5,4,3,3,7,2,4,3,2,1,3,1,4,1,11564.861966,2,1,1,1,,100,100,10,,10
101201,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,2,2,2,2,2,,1,2,2,,2,,1,2,1,1,8,3,4,4,2,3,2,1,4,2,3409.8385163,2,1,1,2,,12,,5,,5
101202,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,1,2,1,2,2,,1,2,2,,2,,1,4,4,4,3,2,4,4,1,3,2,1,4,2,4635.3955685,2,1,1,1,,16,16,0,,0
101301,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,2,1,2,2,,2,,2,,1,1,1,1,2,1,3,4,1,3,1,1,3,3,4418.7527182,2,2,2,2,,,,,,
101401,,2,2,2,2,2,,,,,,,1,1,1,1,1,1,1,2,,1,2,2,,1,2,1,2,2,2,9,2,4,4,2,2,3,3,4,2,3418.7941479,2,2,2,2,,,,,,
